address	function_address	category
11cd8c	0x11cbf0	register_value_flow_open
11cdec	0x11cbf0	register_value_flow_open
11ce03	0x11cbf0	register_value_flow_open
11d5fa	0x11d5a0	direct_import_slot
11d61e	0x11d5a0	direct_import_slot
11d693	0x11d5a0	import_address_in_register
11d6bd	0x11d5a0	import_address_in_register
11d6e1	0x11d5a0	register_value_flow_open
11d734	0x11d5a0	register_value_flow_open
11d756	0x11d5a0	register_value_flow_open
11e2da	0x11e280	direct_import_slot
11e2f7	0x11e280	direct_import_slot
11e3d3	0x11e280	import_address_in_register
11e3f8	0x11e280	import_address_in_register
11e41c	0x11e280	register_value_flow_open
11e481	0x11e280	register_value_flow_open
11e49c	0x11e280	register_value_flow_open
11ec24	0x11ea40	register_value_flow_open
11ed5f	0x11ecc0	fixed_local_nonleaf
11ef51	0x11ecc0	direct_import_slot
11f034	0x11ecc0	fixed_local_nonleaf
1205f6	0x120300	fixed_local_nonleaf
12061e	0x120300	fixed_local_nonleaf
122e98	0x122db0	import_address_in_register
122ebf	0x122db0	import_address_in_register
122f0a	0x122db0	direct_import_slot
12302b	0x122f30	direct_import_slot
12309b	0x122f30	direct_import_slot
1230c0	0x122f30	direct_import_slot
1243b6	0x1240f0	direct_import_slot
1243f7	0x1240f0	direct_import_slot
124412	0x1240f0	direct_import_slot
124441	0x1240f0	import_address_in_register
124468	0x1240f0	import_address_in_register
1244c3	0x1240f0	direct_import_slot
124781	0x1244d0	direct_import_slot
1247ac	0x1244d0	direct_import_slot
1247d2	0x1244d0	direct_import_slot
1247ea	0x1244d0	direct_import_slot
12480f	0x1244d0	direct_import_slot
12485e	0x1244d0	direct_import_slot
1248cb	0x1244d0	direct_import_slot
1248f0	0x1244d0	direct_import_slot
1269a0	0x1267d0	direct_import_slot
126a34	0x1267d0	direct_import_slot
126aa6	0x1267d0	direct_import_slot
126abe	0x1267d0	direct_import_slot
126ad9	0x1267d0	direct_import_slot
126af7	0x1267d0	direct_import_slot
126b1a	0x1267d0	direct_import_slot
128546	0x128250	fixed_local_nonleaf
12856e	0x128250	fixed_local_nonleaf
128e93	0x128ca0	import_address_in_register
128eba	0x128ca0	import_address_in_register
128ed9	0x128ca0	direct_import_slot
128f44	0x128ca0	import_address_in_register
128f6b	0x128ca0	import_address_in_register
128f97	0x128ca0	direct_import_slot
1290b2	0x128fb0	direct_import_slot
1291c1	0x128fb0	direct_import_slot
1291e3	0x128fb0	direct_import_slot
129207	0x128fb0	direct_import_slot
12923e	0x128fb0	direct_import_slot
1292b5	0x128fb0	direct_import_slot
1292db	0x128fb0	direct_import_slot
129312	0x128fb0	direct_import_slot
12933a	0x128fb0	direct_import_slot
12adec	0x12acf0	import_address_in_register
12ae13	0x12acf0	import_address_in_register
12ae56	0x12acf0	import_address_in_register
12ae7d	0x12acf0	import_address_in_register
12aec6	0x12acf0	direct_import_slot
12af94	0x12aee0	direct_import_slot
12b006	0x12aee0	direct_import_slot
12b04a	0x12aee0	direct_import_slot
12b089	0x12aee0	direct_import_slot
12b0c0	0x12aee0	direct_import_slot
12b0fb	0x12aee0	direct_import_slot
12b132	0x12aee0	direct_import_slot
12b157	0x12aee0	direct_import_slot
132f5b	0x132d30	import_address_in_register
132f7a	0x132d30	import_address_in_register
1330bb	0x132d30	import_address_in_register
133147	0x132d30	direct_import_slot
1331ce	0x132d30	direct_import_slot
1331ed	0x132d30	fixed_local_nonleaf
13320b	0x132d30	direct_import_slot
134e80	0x134be0	direct_import_slot
134fde	0x134be0	register_value_flow_open
13506e	0x134be0	direct_import_slot
1350ee	0x134be0	register_value_flow_open
13512b	0x134be0	direct_import_slot
135778	0x1356c0	import_address_in_register
1357cf	0x1356c0	direct_import_slot
135913	0x1356c0	import_address_in_register
135925	0x1356c0	import_address_in_register
135978	0x1356c0	import_address_in_register
135992	0x1356c0	fixed_local_nonleaf
1359a3	0x1356c0	direct_import_slot
1359b4	0x1356c0	fixed_local_nonleaf
1359d6	0x1356c0	direct_import_slot
1372a4	0x136e60	direct_import_slot
1372e8	0x136e60	import_address_in_register
1372fb	0x136e60	import_address_in_register
137311	0x136e60	direct_import_slot
137351	0x136e60	import_address_in_register
137364	0x136e60	import_address_in_register
137377	0x136e60	import_address_in_register
13738a	0x136e60	import_address_in_register
13739d	0x136e60	import_address_in_register
1373b0	0x136e60	import_address_in_register
139ca0	0x1398d0	import_address_in_register
139cb2	0x1398d0	import_address_in_register
139e20	0x1398d0	register_value_flow_open
139e5e	0x1398d0	register_value_flow_open
139f3d	0x1398d0	import_address_in_register
139f4f	0x1398d0	import_address_in_register
13a0bd	0x1398d0	import_address_in_register
13a0fb	0x1398d0	import_address_in_register
13a31a	0x1398d0	register_value_flow_open
13a358	0x1398d0	register_value_flow_open
13a4f5	0x1398d0	import_address_in_register
13a533	0x1398d0	import_address_in_register
13c170	0x13c140	direct_import_slot
13c204	0x13c140	import_address_in_register
13c239	0x13c140	import_address_in_register
13f797	0x13f540	direct_import_slot
141286	0x141200	import_address_in_register
1412a9	0x141200	import_address_in_register
141376	0x1412f0	import_address_in_register
141399	0x1412f0	import_address_in_register
141471	0x1413e0	direct_import_slot
1414b5	0x1413e0	direct_import_slot
1414d8	0x1413e0	direct_import_slot
1415a1	0x141510	direct_import_slot
1415e8	0x141510	direct_import_slot
14160b	0x141510	direct_import_slot
